"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jabari Smith Jr.","Hou","F","20.9","72","31.8","17.6","9.9","178","0.82","427","0.529","359","0.365","0.538","0.573","13.8","8.2","1.5","0.7","0.8","1.2","22","15.3","23.5","7","115.8","107"
"","Dennis Schroder","Tor","G","30.6","51","30.6","19.4","12.9","149","0.852","339","0.501","220","0.35","0.511","0.559","13.7","2.7","6.1","0.9","0.2","1.6","16.4","19.8","22.6","8","117.4","116.6"
"","Rudy Gobert","Min","C","31.8","72","34","15.3","16.3","357","0.636","576","0.656","3","0","0.653","0.668","13.7","12.8","1.3","0.6","2.1","1.6","26.5","15","27.8","7.2","129","99.2"
"","Gary Trent Jr.","Tor","G-F","25.2","68","28.1","19.8","5.1","89","0.775","370","0.462","431","0.404","0.539","0.555","13.7","2.6","1.7","1.1","0.1","0.6","16.4","15.4","18","5.6","111.3","118.3"
"","Saddiq Bey","Atl","F","25","63","32.7","17","7.2","203","0.837","339","0.522","358","0.316","0.497","0.549","13.7","6.5","1.5","0.8","0.2","0.9","20.2","15.2","21.7","6.3","119.6","119.1"
"","Jalen Duren","Det","C","20.4","59","29.1","18.3","18.5","168","0.786","539","0.625","4","0","0.621","0.653","13.7","11.6","2.4","0.6","0.8","2.1","25.3","16.1","27.7","10","121.4","107.5"
"","Bobby Portis","Mil","F","29.2","78","24.4","22.7","8.4","122","0.787","633","0.542","238","0.395","0.556","0.575","13.6","7.3","1.2","0.8","0.4","1","20.9","14.9","22.2","8.1","114.6","106.4"
"","P.J. Washington","Cha","F","25.6","44","29.2","21.2","11.5","94","0.713","265","0.558","244","0.324","0.524","0.545","13.6","5.3","2.2","0.9","0.7","1.5","18.9","15.8","21.1","7.4","106.4","113.5"
"","Naz Reid","Min","C-F","24.6","77","24.4","22.9","11.5","137","0.752","417","0.542","392","0.418","0.583","0.602","13.6","5.3","1.3","0.8","0.9","1.4","18.9","14.9","20.2","7.4","112","101.8"
"","Scoot Henderson","Por","G","20.2","59","28","26.2","20.9","193","0.819","493","0.418","243","0.317","0.437","0.488","13.6","3.1","5.1","0.7","0.2","3.3","16.7","18.7","21.8","8.6","96.6","111"
